21:03:41;-0.08179660, -0.01564690, 0.04458623, 0.99552830
21:03:41;-0.08179601, -0.01562908, 0.04499228, 0.99551030
21:03:41;-0.08206862, -0.01579085, 0.04497338, 0.99548620
21:03:41;-0.08212020, -0.01576211, 0.04513631, 0.99547490
21:03:41;-0.08207026, -0.01557267, 0.04534717, 0.99547260
21:03:41;-0.08223010, -0.01598050, 0.04523969, 0.99545770
21:03:42;-0.08196355, -0.01644629, 0.04556125, 0.99545750
21:03:42;-0.08167865, -0.01642190, 0.04535057, 0.99549100
21:03:42;-0.08229683, -0.01757696, 0.04604110, 0.99538860
21:03:42;-0.08270270, -0.01834150, 0.04701836, 0.99529550
21:03:42;-0.08305075, -0.01869857, 0.04720643, 0.99525100
21:03:42;-0.08345024, -0.01977850, 0.04765717, 0.99517520
21:03:42;-0.08302922, -0.01893199, 0.04747483, 0.99523560
21:03:42;-0.08269058, -0.01906924, 0.04692510, 0.99528720
21:03:42;-0.08262596, -0.01891102, 0.04690713, 0.99529650
21:03:42;-0.08060139, -0.00827342, 0.04578570, 0.99565990
21:03:43;-0.07690699, 0.01654976, 0.04538097, 0.99586740
21:03:43;-0.06665441, 0.13685510, 0.05259624, 0.98694560
21:03:43;-0.12441210, 0.24233600, 0.02335902, 0.96189880
21:03:43;-0.09858771, 0.28973160, 0.01970838, 0.95181270
21:03:43;-0.07803445, 0.32224870, -0.00018966, 0.94343330
21:03:43;-0.07590958, 0.35801540, -0.01323847, 0.93053080
21:03:43;-0.07668468, 0.35843750, -0.01139462, 0.93032910
21:03:43;-0.05790544, 0.34831820, -0.02201992, 0.93532690
21:03:43;-0.04721145, 0.34329200, -0.03046909, 0.93754650
21:03:43;-0.03976528, 0.33030310, -0.04508192, 0.94195860
21:03:44;-0.03932542, 0.31997500, -0.04862254, 0.94535980
21:03:44;-0.04479371, 0.27658620, -0.05436777, 0.95840360
21:03:44;-0.06961785, 0.23443620, -0.04781521, 0.96845590
21:03:44;-0.12771240, 0.14286980, -0.05792948, 0.97975610
21:03:44;-0.13858440, 0.11562820, -0.06738003, 0.98126670
21:03:44;-0.14048950, 0.07931209, -0.07336689, 0.98416940
21:03:44;-0.15522940, 0.07012104, -0.07591999, 0.98245760
21:03:44;-0.17112160, 0.06500389, -0.07487357, 0.98024790
21:03:44;-0.16827550, 0.06753732, -0.07824381, 0.98030610
21:03:44;-0.16247350, 0.06835639, -0.08911005, 0.98030050
21:03:45;-0.16264470, 0.06781898, -0.09552611, 0.97970510
21:03:45;-0.16142210, 0.06807301, -0.09541042, 0.97990100
21:03:45;-0.15222170, 0.06520940, -0.10105410, 0.98100170
21:03:45;-0.14718880, 0.06091849, -0.10288130, 0.98185530
21:03:45;-0.14123450, 0.05923508, -0.10410560, 0.98270340
21:03:45;-0.13622510, 0.05616487, -0.10597530, 0.98339080
21:03:45;-0.13402000, 0.05720620, -0.10542090, 0.98369330
